# 2012
other,jer,1.009456,1.009456,1.005797,1.005797,1.005797,1.005797,1.005797,1.005797
other,jes,1.025807,1.025807,1.049564,1.049564,1.049564,1.049564,1.049564,1.049564
other,mid,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000
other,pu,1.008002,1.008002,1.010929,1.010929,1.010929,1.010929,1.010929,1.010929
other,trig,1.001239,1.001239,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
signal_1000_500,jer,1.003286,1.003286,1.008079,1.008079,1.008079,1.008079,1.008079,1.008079
signal_1000_500,jes,1.036792,1.036792,1.087319,1.087319,1.087319,1.087319,1.087319,1.087319
signal_1000_500,mid,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000
signal_1000_500,pu,1.000700,1.000700,1.001155,1.001155,1.001155,1.001155,1.001155,1.001155
signal_1000_500,trig,1.000396,1.000396,1.000685,1.000685,1.000685,1.000685,1.000685,1.000685
signal_1100_550,jer,1.001812,1.001812,1.000259,1.000259,1.000259,1.000259,1.000259,1.000259
signal_1100_550,jes,1.046192,1.046192,1.029181,1.029181,1.029181,1.029181,1.029181,1.029181
signal_1100_550,mid,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000
signal_1100_550,pu,1.001013,1.001013,1.000630,1.000630,1.000630,1.000630,1.000630,1.000630
signal_1100_550,trig,1.000590,1.000590,1.000565,1.000565,1.000565,1.000565,1.000565,1.000565
signal_1200_600,jer,1.003042,1.003042,1.001189,1.001189,1.001189,1.001189,1.001189,1.001189
signal_1200_600,jes,1.047988,1.047988,1.014573,1.014573,1.014573,1.014573,1.014573,1.014573
signal_1200_600,mid,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000
signal_1200_600,pu,1.000271,1.000271,1.000675,1.000675,1.000675,1.000675,1.000675,1.000675
signal_1200_600,trig,1.000192,1.000192,1.000443,1.000443,1.000443,1.000443,1.000443,1.000443
