# 2011
signal_1500_750,trig,1.015
signal_1600_800,trig,1.014
signal_1700_850,trig,1.013
signal_1800_900,trig,1.012
signal_1900_950,trig,1.011
signal_2000_1000,trig,1.010
signal_2100_1050,trig,1.009
signal_2200_1100,trig,1.008
signal_2300_1150,trig,1.007
signal_2400_1200,trig,1.006
signal_2500_1250,trig,1.005
signal_2600_1300,trig,1.005
signal_2700_1350,trig,1.005
signal_2800_1400,trig,1.005
signal_2900_1450,trig,1.005
signal_3000_1500,trig,1.005

# Pileup
#ttjets,pu,1.002,1.002,1.002,1.002,1.002,1.002,1.002,1.002,1.002,1.002,1.002,1.002,1.002,1.002,1.002,1.002,1.002
zjets,pu,1.020
other,pu,1.030
signal_1000_500,pu,1.010
signal_1100_550,pu,1.010
signal_1200_600,pu,1.010
signal_1300_650,pu,1.010
signal_1400_700,pu,1.010
signal_1500_750,pu,1.010
signal_1600_800,pu,1.110
signal_1700_850,pu,1.010
signal_1800_900,pu,1.010
signal_1900_950,pu,1.010
signal_2000_1000,pu,1.010
signal_2100_1050,pu,1.010
signal_2200_1100,pu,1.010
signal_2300_1150,pu,1.010
signal_2400_1200,pu,1.010
signal_2500_1250,pu,1.010
signal_2600_1300,pu,1.010
signal_2700_1350,pu,1.010
signal_2800_1400,pu,1.010
signal_2900_1450,pu,1.010
signal_3000_1500,pu,1.010
