#name	dataset	cross_sxn(pb)	cross_sxn_err	total_evts	skimmed_dataset	skimmed_events
# Data	##################################################
DYJets_100to200	/DYJetsToLL_M-100to200_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	2.294e+02	1.373e+00	101638	/DYJetsToLL_M-100to200_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/shervin-DYJets_100to200_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	20490
DYJets_200to400	/DYJetsToLL_M-200to400_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	7.733e+00	5.252e-02	96310	/DYJetsToLL_M-200to400_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/shervin-DYJets_200to400_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	35635
DYJets_400to500	/DYJetsToLL_M-400to500_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	4.035e-01	2.974e-03	98441	/DYJetsToLL_M-400to500_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/shervin-DYJets_400to500_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	45524
DYJets_500to700	/DYJetsToLL_M-500to700_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v3/MINIAODSIM	2.327e-01	1.763e-03	101029	/DYJetsToLL_M-500to700_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/shervin-DYJets_500to700_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	51176
DYJets_700to800	/DYJetsToLL_M-700to800_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	3.595e-02	2.849e-04	96011	/DYJetsToLL_M-700to800_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/shervin-DYJets_700to800_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	52219
DYJets_800to1000	/DYJetsToLL_M-800to1000_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	3.087e-02	2.494e-04	89216	/DYJetsToLL_M-800to1000_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/shervin-DYJets_800to1000_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	50394
DYJets_1000to1500	/DYJetsToLL_M-1000to1500_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	-	-	-	-	-
DYJets_1500to2000	/DYJetsToLL_M-1500to2000_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	2.186e-03	2.001e-05	95217	/DYJetsToLL_M-1500to2000_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/shervin-DYJets_1500to2000_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	59789
DYJets_2000to3000	/DYJetsToLL_M-2000to3000_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	5.239e-04	5.152e-06	95200	/DYJetsToLL_M-2000to3000_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/shervin-DYJets_2000to3000_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	61895
####
DYToEE_powheg	/DYToEE_NNPDF30_13TeV-powheg-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	0.000e+00	0.000e+00	-	-	-
DYToMuMu_powheg_50to120	/ZToMuMu_NNPDF30_13TeV-powheg_M_50_120/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	-	-	2836876	/ZToMuMu_NNPDF30_13TeV-powheg_M_50_120/shervin-DYToMuMu_powheg_50to120_SHv2-e73ab3558da1b418bca464e13b669858/USER	244724
DYToMuMu_powheg_120to200	/ZToMuMu_NNPDF30_13TeV-powheg_M_120_200/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	-	-	100000	/ZToMuMu_NNPDF30_13TeV-powheg_M_120_200/shervin-DYToMuMu_powheg_120to200_SHv2-e73ab3558da1b418bca464e13b669858/USER	39691
DYToMuMu_powheg_200to400	/ZToMuMu_NNPDF30_13TeV-powheg_M_200_400/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	-	-	100000	/ZToMuMu_NNPDF30_13TeV-powheg_M_200_400/shervin-DYToMuMu_powheg_200to400_SHv2-e73ab3558da1b418bca464e13b669858/USER	56232
DYToMuMu_powheg_400to800	/ZToMuMu_NNPDF30_13TeV-powheg_M_400_800/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	-	-	100000	/ZToMuMu_NNPDF30_13TeV-powheg_M_400_800/shervin-DYToMuMu_powheg_400to800_SHv2-e73ab3558da1b418bca464e13b669858/USER	70687
DYToMuMu_powheg_800to1400	/ZToMuMu_NNPDF30_13TeV-powheg_M_800_1400/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	-	-	100000	/ZToMuMu_NNPDF30_13TeV-powheg_M_800_1400/shervin-DYToMuMu_powheg_800to1400_SHv2-e73ab3558da1b418bca464e13b669858/USER	82668
DYToMuMu_powheg_1400to2300	/ZToMuMu_NNPDF30_13TeV-powheg_M_1400_2300/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	-	-	99600	/ZToMuMu_NNPDF30_13TeV-powheg_M_1400_2300/shervin-DYToMuMu_powheg_1400to2300_SHv2-e73ab3558da1b418bca464e13b669858/USER	88470
DYToMuMu_powheg_2300to3500	/ZToMuMu_NNPDF30_13TeV-powheg_M_2300_3500/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	-	-	100000	/ZToMuMu_NNPDF30_13TeV-powheg_M_2300_3500/shervin-DYToMuMu_powheg_2300to3500_SHv2-e73ab3558da1b418bca464e13b669858/USER	91616
DYToMuMu_powheg_3500to4500	/ZToMuMu_NNPDF30_13TeV-powheg_M_3500_4500/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	-	-	100000	/ZToMuMu_NNPDF30_13TeV-powheg_M_3500_4500/shervin-DYToMuMu_powheg_3500to4500_SHv2-e73ab3558da1b418bca464e13b669858/USER	92644
DYToMuMu_powheg_6000toInf	/ZToMuMu_NNPDF30_13TeV-powheg_M_6000_Inf/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	-	-	100000	/ZToMuMu_NNPDF30_13TeV-powheg_M_6000_Inf/shervin-DYToMuMu_powheg_6000toInf_SHv2-e73ab3558da1b418bca464e13b669858/USER	91613
##
