#name	dataset	cross_sxn(pb)	filter_eff	total_evts	skimmed_dataset	skimmed_events
# Data	##################################################
WRtoEEJJ_5000_2500	/WRToNuEToEEJJ_MW-5000_MNu-2500_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	9.397e-05	2.078e-07	49736	9.406e-05	2.542e-07
WRtoEEJJ_5200_2600	/WRToNuEToEEJJ_MW-5200_MNu-2600_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	6.248e-05	1.342e-07	50000	6.248e-05	1.342e-07
WRtoEEJJ_5600_2800	/WRToNuEToEEJJ_MW-5600_MNu-2800_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	2.786e-05	5.731e-08	48746	2.786e-05	5.731e-08
WRtoEEJJ_5800_2900	/WRToNuEToEEJJ_MW-5800_MNu-2900_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	1.858e-05	3.727e-08	48928	1.858e-05	3.727e-08
WRtoEEJJ_6000_3000	/WRToNuEToEEJJ_MW-6000_MNu-3000_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	1.249e-05	2.508e-08	46828	1.249e-05	2.508e-08
#	##################################
WRtoMuMuJJ_800_400	/WRToNuMuToMuMuJJ_MW-800_MNu-400_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	4.263e+00	1.500e-02	46682	4.261e+00	1.449e-02
WRtoMuMuJJ_1000_500	/WRToNuMuToMuMuJJ_MW-1000_MNu-500_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	1.678e+00	4.970e-03	50000	1.692e+00	5.007e-03
WRtoMuMuJJ_1200_600	/WRToNuMuToMuMuJJ_MW-1200_MNu-600_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	7.608e-01	2.215e-03	50000	7.653e-01	2.873e-03
WRtoMuMuJJ_1400_700	/WRToNuMuToMuMuJJ_MW-1400_MNu-700_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	3.781e-01	1.122e-03	49358	3.784e-01	1.116e-03
WRtoMuMuJJ_1600_800	/WRToNuMuToMuMuJJ_MW-1600_MNu-800_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	2.026e-01	5.967e-04	50000	2.025e-01	6.003e-04
WRtoMuMuJJ_1800_1400	/WRToNuMuToMuMuJJ_MW-1800_MNu-900_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	1.128e-01	3.288e-04	50000	1.146e-01	6.659e-04
WRtoMuMuJJ_2000_1000	/WRToNuMuToMuMuJJ_MW-2000_MNu-1000_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	6.549e-02	1.938e-04	47894	6.561e-02	3.084e-04
WRtoMuMuJJ_2200_1100	/WRToNuMuToMuMuJJ_MW-2200_MNu-1100_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	3.921e-02	1.126e-04	50000	-	-
WRtoMuMuJJ_2400_1200	/WRToNuMuToMuMuJJ_MW-2400_MNu-1200_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	2.394e-02	6.809e-05	50000	2.394e-02	7.355e-05
WRtoMuMuJJ_2600_1300	/WRToNuMuToMuMuJJ_MW-2600_MNu-1300_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	1.489e-02	4.197e-05	50000	1.490e-02	4.192e-05
WRtoMuMuJJ_2800_1400	/WRToNuMuToMuMuJJ_MW-2800_MNu-1400_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	9.422e-03	2.675e-05	48344	9.439e-03	2.627e-05
WRtoMuMuJJ_3000_1500	/WRToNuMuToMuMuJJ_MW-3000_MNu-1500_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	6.034e-03	1.655e-05	50000	5.958e-03	2.653e-04
WRtoMuMuJJ_3200_1600	/WRToNuMuToMuMuJJ_MW-3200_MNu-1600_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	3.904e-03	1.101e-05	46374	3.900e-03	1.502e-05
WRtoMuMuJJ_3600_1800	/WRToNuMuToMuMuJJ_MW-3600_MNu-1800_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	1.661e-03	4.447e-06	48299	1.665e-03	6.634e-06
WRtoMuMuJJ_3800_1900	/WRToNuMuToMuMuJJ_MW-3800_MNu-1900_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	1.097e-03	2.817e-06	50000	1.095e-03	4.781e-06
WRtoMuMuJJ_4000_2000	/WRToNuMuToMuMuJJ_MW-4000_MNu-2000_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	7.205e-04	1.876e-06	47296	7.273e-04	2.533e-06
WRtoMuMuJJ_4200_2100	/WRToNuMuToMuMuJJ_MW-4200_MNu-2100_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	4.791e-04	1.180e-06	49882	4.799e-04	1.248e-06
WRtoMuMuJJ_4400_2200	/WRToNuMuToMuMuJJ_MW-4400_MNu-2200_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	3.172e-04	7.646e-07	50000	3.175e-04	7.705e-07
WRtoMuMuJJ_4600_2300	/WRToNuMuToMuMuJJ_MW-4600_MNu-2300_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	2.124e-04	4.974e-07	50000	2.117e-04	4.970e-07
WRtoMuMuJJ_4800_2400	/WRToNuMuToMuMuJJ_MW-4800_MNu-2400_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	1.408e-04	3.212e-07	50000	1.414e-04	3.210e-07
WRtoMuMuJJ_5000_2500	/WRToNuMuToMuMuJJ_MW-5000_MNu-2500_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	9.423e-05	2.087e-07	50000	9.406e-05	2.542e-07
WRtoMuMuJJ_5200_2600	/WRToNuMuToMuMuJJ_MW-5200_MNu-2600_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	6.260e-05	1.342e-07	50000	6.248e-05	1.342e-07
WRtoMuMuJJ_5600_2800	/WRToNuMuToMuMuJJ_MW-5600_MNu-2800_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	2.790e-05	5.712e-08	49188	2.786e-05	5.731e-08
WRtoMuMuJJ_5800_2900	/WRToNuMuToMuMuJJ_MW-5800_MNu-2900_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	1.871e-05	3.712e-08	50000	1.858e-05	3.727e-08
WRtoMuMuJJ_6000_3000	/WRToNuMuToMuMuJJ_MW-6000_MNu-3000_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	1.252e-05	2.436e-08	49718	1.249e-05	2.508e-08
