channel   DY   data/DY   leadLeptPtCut   subleadLeptPtCut   leadJetPtCut   subleadJetPtCut
EE	MADHT	1.01401	35	29	40	40
 
MuMu	AMC	0.96148	35	29	40	40
MuMu	POWHEG	1.80871	35	29	40	40
MuMu	MADHT	1.17452	35	29	40	40
 
EE	AMC	0.832557	35	31	40	40
EE	POWHEG	1.47218	35	31	40	40
EE	MADHT	1.02682	35	31	40	40
 
MuMu	AMC	0.96564	35	31	40	40
MuMu	POWHEG	1.78872	35	31	40	40
MuMu	MADHT	1.17796	35	31	40	40
 
EE	AMC	0.829539	37	29	40	40
EE	POWHEG	1.4722	37	29	40	40
EE	MADHT	1.01434	37	29	40	40
 
MuMu	AMC	0.961985	37	29	40	40
MuMu	POWHEG	1.80529	37	29	40	40
MuMu	MADHT	1.17559	37	29	40	40
 
EE	AMC	0.829673	37	33	40	40
EE	POWHEG	1.45131	37	33	40	40
EE	MADHT	1.02852	37	33	40	40
 
MuMu	AMC	0.969015	37	33	40	40
MuMu	POWHEG	1.74822	37	33	40	40
MuMu	MADHT	1.17831	37	33	40	40
 
EE	AMC	0.826757	40	33	40	40
EE	POWHEG	1.43977	40	33	40	40
EE	MADHT	1.02848	40	33	40	40
 
MuMu	AMC	0.968675	40	33	40	40
MuMu	POWHEG	1.73957	40	33	40	40
MuMu	MADHT	1.18161	40	33	40	40
 
EE	AMC	0.822105	40	35	40	40
EE	POWHEG	1.39031	40	35	40	40
EE	MADHT	1.03214	40	35	40	40
 
MuMu	AMC	0.965467	40	35	40	40
MuMu	POWHEG	1.70413	40	35	40	40
MuMu	MADHT	1.18524	40	35	40	40
 
EE	AMC	0.806425	33	20	45	45
EE	POWHEG	1.56921	33	20	45	45
EE	MADHT	0.99715	33	20	45	45
 
MuMu	AMC	0.981634	33	20	45	45
MuMu	POWHEG	2.0599	33	20	45	45
MuMu	MADHT	1.19356	33	20	45	45
 
EE	AMC	0.81363	33	25	45	45
EE	POWHEG	1.59214	33	25	45	45
EE	MADHT	0.994453	33	25	45	45
 
MuMu	AMC	0.980071	33	25	45	45
MuMu	POWHEG	2.05135	33	25	45	45
MuMu	MADHT	1.19324	33	25	45	45
 
EE	AMC	0.831785	33	29	45	45
EE	POWHEG	1.59193	33	29	45	45
EE	MADHT	1.02361	33	29	45	45
 
MuMu	AMC	0.961463	33	29	45	45
MuMu	POWHEG	1.97056	33	29	45	45
MuMu	MADHT	1.19007	33	29	45	45
 
EE	AMC	0.815501	35	25	45	45
EE	POWHEG	1.59348	35	25	45	45
EE	MADHT	0.996646	35	25	45	45
 
MuMu	AMC	0.979745	35	25	45	45
MuMu	POWHEG	2.04292	35	25	45	45
MuMu	MADHT	1.19156	35	25	45	45
 
EE	AMC	0.832702	35	29	45	45
EE	POWHEG	1.59404	35	29	45	45
EE	MADHT	1.02379	35	29	45	45
 
MuMu	AMC	0.96128	35	29	45	45
MuMu	POWHEG	1.9647	35	29	45	45
MuMu	MADHT	1.18927	35	29	45	45
 
EE	AMC	0.833907	35	31	45	45
