#WR mass	Nu mass	efficiencyFraction
3400	1500	72.75
3400	1600	72.84
3400	1700	73.8
3400	1800	74.23
3400	1900	74.73
3400	2000	74.64
3400	2100	75.03
3400	2200	75.02
3400	2300	74.84
3400	2400	75.53
3400	2500	75.49
3400	2600	74.14
3400	2700	75.34
3400	2800	75.08
3400	2900	74.95
3400	3000	73.81
3400	3100	72.91
3400	3200	71.17
3400	3300	64.11
3500	100	0.01
3500	200	0.61
3500	300	3.77
3500	400	11.85
3500	500	21.71
3500	600	32.73
3500	700	42.22
3500	800	50.34
3500	900	55.98
3500	1000	60.11
3500	1100	64.01
3500	1200	66.67
3500	1300	69.11
3500	1400	70.97
3500	1500	72.3
3500	1600	73.18
3500	1700	73.82
3500	1800	74.63
3500	1900	75.21
3500	2000	75.75
3500	2100	74.92
3500	2200	75.88
3500	2300	76.1
3500	2400	75.17
3500	2500	74.97
3500	2600	75.15
3500	2700	76.17
3500	2800	74.9
3500	2900	75.24
3500	3000	74.6
3500	3100	75.01
3500	3200	74.09
3500	3300	70.56
3500	3400	65.32
3600	100	0.01
3600	200	0.59
3600	300	4.11
3600	400	11.15
3600	500	20.35
3600	600	31.47
3600	700	40.94
3600	800	48.04
3600	900	54.24
3600	1000	58.67
3600	1100	63.55
3600	1200	66.31
3600	1300	68.77
3600	1400	69.67
3600	1500	72.23
3600	1600	73.54
3600	1700	74.06
3600	1800	75.02
3600	1900	75.48
3600	2000	74.94
3600	2100	75.34
3600	2200	76.06
3600	2300	75.05
3600	2400	75.59
3600	2500	75.79
3600	2600	76.09
3600	2700	75.51
3600	2800	75.47
3600	2900	76.09
3600	3000	75.36
3600	3100	75.25
3600	3200	74.73
3600	3300	74.73
3600	3400	71.93
3600	3500	65.12
3700	100	0.01
3700	200	0.46
3700	300	3.18
3700	400	9.7
3700	500	18.84
3700	600	29.13
3700	700	38.27
3700	800	45.77
3700	900	52.34
3700	1000	57.31
3700	1100	61.17
3700	1200	63.94
3700	1300	66.61
3700	1400	68.94
3700	1500	70.58
3700	1600	72.01
3700	1700	73.63
3700	1800	74.29
3700	1900	75.33
3700	2000	75.24
3700	2100	75.14
3700	2200	75.06
3700	2300	75.85
3700	2400	75.27
3700	2500	75.85
3700	2600	75.46
3700	2700	75.21
3700	2800	74.96
3700	2900	74.9
3700	3000	74.53
3700	3100	74.85
3700	3200	74.45
3700	3300	73.71
3700	3400	72.99
3700	3500	69.42
3700	3600	61.69
3800	100	0.01
3800	200	0.43
3800	300	3.42
3800	400	9.15
3800	500	18.42
3800	600	27.95
3800	700	37.37
3800	800	45.57
3800	900	52.27
3800	1000	57.22
3800	1100	62.15
3800	1200	65.44
3800	1300	66.98
3800	1400	69.69
3800	1500	70.84
3800	1600	72.18
3800	1700	73.24
3800	1800	74.31
3800	1900	74.67
3800	2000	75.74
3800	2100	76.21
3800	2200	77
3800	2300	76.24
3800	2400	75.96
3800	2500	75.74
3800	2600	75.83
3800	2700	76.01
3800	2800	76.02
3800	2900	75.79
3800	3000	76.51
3800	3100	75.62
3800	3200	75.61
3800	3300	76.18
3800	3400	75.01
3800	3500	73.49
3800	3600	72.14
3800	3700	65.7
3900	100	0
3900	200	0.44
3900	300	2.86
3900	400	7.92
3900	500	17.28
3900	600	26.18
3900	700	36.18
3900	800	43.66
3900	900	49.78
3900	1000	55.95
3900	1100	59.86
3900	1200	63.35
3900	1300	65.7
3900	1400	68.77
3900	1500	69.73
3900	1600	71.68
3900	1700	72.89
3900	1800	73.21
3900	1900	74.4
3900	2000	74.52
3900	2100	75.41
3900	2200	76.33
3900	2300	76.58
3900	2400	75.9
3900	2500	75.35
3900	2600	75.79
3900	2700	75.74
3900	2800	76.49
3900	2900	74.87
3900	3000	75.72
3900	3100	76.49
3900	3200	74.72
3900	3300	75.43
3900	3400	74.88
3900	3500	75.41
3900	3600	73.33
3900	3700	69.63
3900	3800	62.94
4000	100	0
4000	200	0.32
4000	300	2.81
4000	400	7.83
4000	500	16.26
4000	600	25.2
4000	700	34.89
4000	800	43.05
4000	900	50.08
4000	1000	56.1
4000	1100	59.61
4000	1200	63.31
4000	1300	66.7
4000	1400	68.12
4000	1500	70.72
4000	1600	71.93
4000	1700	73.21
4000	1800	74.56
4000	1900	74.56
4000	2000	76.2
4000	2100	76.14
4000	2200	76.46
4000	2300	76.31
4000	2400	76.76
4000	2500	77.24
4000	2600	76.88
4000	2700	76
4000	2800	76.81
4000	2900	76.72
4000	3000	76.49
4000	3100	76.5
4000	3200	77.16
4000	3300	76.12
4000	3400	76.3
4000	3500	75.59
4000	3600	76.28
4000	3700	75.4
4000	3800	72.73
4000	3900	66.77
